NFIRS Code,NFIRS Incident Type Code Description,NERIS Category,NERIS Subcategory,NERIS Description,NERIS Definition
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,"Convulsions, Seizures",A medical incident involving a patient experiencing convulsions and/or seizures.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Diabetic problems,A medical incident involving a patient experiencing diabetic problems.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Headache,A medical incident involving a patient experiencing a headache.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Heart problems,A medical incident involving a patient experiencing heart problems.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Nausea,A medical incident involving a patient experiencing nausea.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,"Pandemic, Epidemic, Outbreak","A medical incident involving a patient exhibiting symptoms associated with a pandemic, epidemic, or outbreak, warranting urgent assessment and intervention to prevent further transmission and ensure appropriate care."
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,"Pregnancy, Childbirth",A medical incident involving a patient experiencing childbirth or pregnancy-related needs.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Psychological behavior issues,A medical incident involving a patient experiencing psychological behavior issues.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Sick case,A medical incident involving a patient experiencing sickness.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,"Stroke, CVA",A medical incident involving a patient experiencing a stroke or cerebrovascular incident (CVA).
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Unconscious victim,A medical incident involving a patient experiencing unconsciousness.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Well person check,"A medical incident involving a patient undergoing a routine health assessment aimed at evaluating overall health, identifying potential health risks, and promoting preventive care."
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Animal bites,"A medical incident involving a patient who is experiencing trauma from a bite inflicted by an animal, which may result in lacerations, puncture wounds, and potential infection."
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Assault,A medical incident involving a patient who is experiencing trauma resulting from an intentional act of violence or physical attack.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Allergic reaction stings,"A medical incident involving a patient experiencing an adverse response to an allergen, such as food, medication, or insect stings."
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,"Burns, explosions","A medical incident involving a patient who is experiencing trauma due to thermal burns from fire, scalding liquids, or chemical exposure, including from an explosion."
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,"Carbon Monoxide, other inhalation injury","A medical incident involving a patient exposed to carbon monoxide or harmful inhalants, leading to symptoms such as headache, dizziness, confusion, or respiratory distress."
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Choking,"A medical incident involving a patient who is unable to breathe due to an obstruction in the airway, typically caused by food, foreign objects, or swelling."
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,"Drowning, Diving, SCUBA accident",A medical incident involving a patient who has experienced near-drowning or an injury related to diving or SCUBA activities.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Electrocution,"A medical incident involving a patient with a condition caused by exposure to electrical current, resulting in various injuries such as cardiac complications, severe burns, neurological effects, muscle damage, and respiratory issues."
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Eye trauma,"A medical incident involving a patient who is experiencing an injury to the eye which may result from blunt force, penetration, chemical exposure, or thermal injury."
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Fall,A medical incident involving a patient who is experiencing an injury resulting from a fall.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,"Heat, Cold exposure","A medical incident involving a patient who is experiencing an injury related to prolonged exposure to extreme temperatures, leading to conditions such as heat exhaustion, heat stroke, hypothermia, or frostbite."
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Motor vehicle collision,A medical incident involving a patient who is experiencing an injury or trauma emergency due to a motor vehicle collision.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,"Industrial, Inaccessible entrapment",A medical patient involving an individual who is experiencing an industrial related injury or trauma emergency and is entrapped or otherwise inaccessible.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Overdose,"A medical emergency that occurs when an individual consumes an excessive amount of a substance, such as drugs or alcohol, resulting in potentially life-threatening symptoms. These may include respiratory depression, altered consciousness, cardiovascular instability, and gastrointestinal distress."
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Poisoning,"A medical emergency resulting from the ingestion, inhalation, or absorption of toxic substances, leading to a range of symptoms such as nausea, confusion, respiratory distress, and organ dysfunction."
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Gunshot wound,A medical incident involving a patient who is experiencing an injury or trauma emergency due to a bullet penetrating the body.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,"Hemorrhage, Laceration",A medical emergency involving a patient who is experiencing an injury or trauma due to a hemorrhage or other laceration.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,"Stab, Penetrating trauma",A medical incident involving a patient who is experiencing a stabbing or other penetrating injury or trauma emergency.
321,EMS call. Includes calls when the patient refuses treatment. Excludes vehicle accident with injury (322) and pedestrian struck (323).,Medical,Illness,Other traumatic injury,A medical incident involving a patient who is experiencing an injury or trauma emergency not otherwise specified.
322,"Motor vehicle accident with injuries. Includes collision with other vehicle, fixed objects, or loss of control resulting in leaving the roadway.",Medical,Injury,Motor vehicle collision,A medical incident involving a patient who is experiencing an injury or trauma emergency due to a motor vehicle collision.
323,Motor vehicle/pedestrian accident (MV Ped). Includes any motor vehicle accident involving a pedestrian injury.,Medical,Injury,Other traumatic injury,A medical incident involving a patient who is experiencing an injury or trauma emergency not otherwise specified.
324,Motor vehicle accident with no injuries,HazSit,Hazard Non Chem,Motor vehicle collision,A hazardous situation incident involving a motor vehicle collision.
331,"Lock-in. Includes opening locked vehicles and gaining entry to locked areas for access by caretakers or rescuers, such as a child locked in a bathroom. Excludes lock-outs (511).",Pub Serv,Citizen Assist,Citizen Assist Service Call,"A public service incident involving a request for assistance to perform service calls such as welfare checks, lockouts, or other aid that does not involve immediate danger."
340,"Search for lost person, other.",Pub Serv,Citizen Assist,Lost person,A public service incident involving the search for a lost person.
341,"Search for person on land. Includes lost hikers and children, even where there is an incidental search of local bodies of water, such as a creek or river.",Pub Serv,Citizen Assist,Lost person,A public service incident involving the search for a lost person.
342,Search for person in water. Includes shoreline searches incidental to a reported drowning call.,Pub Serv,Citizen Assist,Lost person,A public service incident involving the search for a lost person.
343,"Search for person underground. Includes caves, mines, tunnels, and the like.",Pub Serv,Citizen Assist,Lost person,A public service incident involving the search for a lost person.
350,"Extrication, rescue, other.",Rescue,Structure,"Extrication, Entrapped",A rescue incident involving victim(s) who are physically trapped or immobilized.
351,"Extrication of victim(s) from building or structure, such as a building collapse. Excludes high-angle rescue (356).",Rescue,Structure,"Extrication, Entrapped",A rescue incident involving victim(s) who are physically trapped or immobilized.
352,Extrication of victim(s) from vehicle. Includes rescues from vehicles hanging off a bridge or cliff.,Rescue,Transportation,"Motor vehicle extractions, entrapped","A rescue incident involving victim(s) who are physically trapped within a motor vehicle due to a collision, necessitating extrication efforts to safely free them and provide medical assistance if needed."
353,Removal of victim(s) from stalled elevator.,Rescue,Structure,"Elevator, Escalator Rescue",A rescue incident involving victim(s) entrapment within an elevator or escalator.
354,Trench or below-grade rescue.,Rescue,Outside,Trench,An outdoor rescue incident involving the retrieval of a person trapped in a trench or excavation site due to a collapse or other hazardous conditions.
355,"Confined space rescue. Includes rescues from the interiors of tanks, including areas with potential for hazardous atmospheres such as silos, wells, and tunnels.",Rescue,Structure,Confined space rescue,A rescue incident involving victim(s) entrapment within a confined space.
356,High-angle rescue. Includes rope rescue and rescues off of structures.,Rescue,Outside,High Angle Rescue,An outdoor rescue incident involving high angle rescue where rope systems are needed for stability and safety.
357,Extrication of victim(s) from machinery. Includes extrication from farm or industrial equipment.,Rescue,Structure,"Extrication, Entrapped",A rescue incident involving victim(s) who are physically trapped or immobilized.
360,"Water and ice-related rescue, other.",Rescue,Water,Person in water - Standing,"A water rescue incident involving victim(s) who are submerged or partially submerged in standing water, such as a lake, pond, or flooded area."
361,"Swimming, recreations water area rescue",Rescue,Water,Persin in water - Swiftwater,"A water rescue incident involving victim(s) who are submerged or partially submerged in fast-moving water, such as a river or stream or ocean."
361,"Swimming, recreations water area rescue",Rescue,Water,Person in water - Standing,"A water rescue incident involving victim(s) who are submerged or partially submerged in standing water, such as a lake, pond, or flooded area."
362,Ice rescue,Rescue,Outside,"Limited, No access",An outdoor rescue incident where reaching the location is challenging due to limited or no access.
363,Swift-water rescue. Includes flash flood conditions.,Rescue,Water,Persin in water - Swiftwater,"A water rescue incident involving victim(s) who are submerged or partially submerged in fast-moving water, such as a river or stream or ocean."
364,Surf rescue.,Rescue,Water,Persin in water - Swiftwater,"A water rescue incident involving victim(s) who are submerged or partially submerged in fast-moving water, such as a river or stream or ocean."
365,Watercraft rescue. Excludes rescues near the shore and in swimming/recreational areas (361). Includes people falling overboard at a significant distance from land.,Rescue,Water,Watercraft in Distress,"A water rescue incident involving a watercraft, such as a boat, jet ski, or kayak, that is experiencing mechanical failure, capsizing, or being threatened by adverse conditions."
370,"Electrical rescue, other",Medical,Injury,Electrocution,"A medical incident involving a patient with a condition caused by exposure to electrical current, resulting in various injuries such as cardiac complications, severe burns, neurological effects, muscle damage, and respiratory issues."
370,"Electrical rescue, other",Rescue,Outside,"Extrication, Entrapped","An outdoor rescue incident involving the removal of an individual who is trapped or entrapped in a vehicle, machinery, or other confined space due to an accident or structural failure."
371,Electrocution or potential electrocution. Excludes people trapped by power lines (372).,Medical,Injury,Electrocution,"A medical incident involving a patient with a condition caused by exposure to electrical current, resulting in various injuries such as cardiac complications, severe burns, neurological effects, muscle damage, and respiratory."
372,Trapped by power lines. Includes people trapped by downed or dangling power lines or other energized electrical equipment.,Rescue,Outside,"Extrication, Entrapped","An outdoor rescue incident involving the removal of an individual who is trapped or entrapped in a vehicle, machinery, or other confined space due to accident or structural failure."
381,Rescue or EMS standby for hazardous conditions. Excludes aircraft standby (462).,Medical,Other,Standby request,A call to standby for medical incident.
400,"Hazardous condition (no fire), other",HazSit,Hazardous Materials,HazMat release facility,A hazardous materials incident involving a hazardous materials release of a chemical from a transportation vehicle.
410,"Combustible and flammable gas or liquid spills or leaks, other.",HazSit,Hazardous Materials,"Gas leak, odor",A hazardous material incident involving a fuel leak or gas odor.
411,Gasoline or other flammable liquid spill (flash point below 100 degrees F at standard temperature and pressure (Class I)).,HazSit,Hazardous Materials,"Fuel spill, odor",A hazardous material incident involving a fuel spill or fuel odor.
411,Gasoline or other flammable liquid spill (flash point below 100 degrees F at standard temperature and pressure (Class I)).,HazSit,Hazardous Materials,"Gas leak, odor",A hazardous material incident involving a fuel leak or gas odor.
412,Gas leak (natural gas or LPG). Excludes gas odors with no source found (671).,HazSit,Hazardous Materials,"Gas leak, odor",A hazardous material incident involving a fuel leak or gas odor.
413,Oil or other combustible liquid spill (flash point at or above 100 degrees F at standard temperature and pressure (Class II or III)).,HazSit,Hazardous Materials,"Fuel spill, odor",A hazardous material incident involving a fuel spill or fuel odor.
420,"Toxic chemical condition, other",HazSit,Hazardous Materials,Radioactive release Incident,A hazardous situational incident involving a biological material release.
420,"Toxic chemical condition, other",HazSit,Hazardous Materials,Biological release incident,A hazardous situational incident involving radioactive material release.
421,Chemical hazard (no spill or leak). Includes the potential for spills or leaks.,HazSit,Hazardous Materials,HazMat release facility,A hazardous materials release incident involving a hazardous materials release of a chemical from/withing a fixed facility or building.
422,"Chemical spill or leak. Includes unstable, reactive, explosive material.",HazSit,Hazardous Materials,"Hazardous fuel spill, odor",A hazardous material incident involving a fuel spill or a fuel odor.
422,"Chemical spill or leak. Includes unstable, reactive, explosive material.",HazSit,Hazardous Materials,HazMat release facility,A hazardous materials release incident involving a hazardous materials release of a chemical from/withing a fixed facility or building.
423,Refrigeration leak. Includes ammonia.,HazSit,Hazardous Materials,Radioactive release Incident,A hazardous situational incident involving a biological material release.
423,Refrigeration leak. Includes ammonia.,HazSit,Hazardous Materials,Biological release incident,A hazardous situational incident involving radioactive material release.
424,Carbon monoxide incident. Excludes incidents with nothing found (736 or 746).,HazSit,Hazardous Materials,Carbon Monoxide release,A hazardous material incident involving a carbon monoxide release.
430,"Radioactive condition, other.",HazSit,Hazardous Materials,Radioactive release Incident,A hazardous situational incident involving radioactive material release.
431,"Radiation leak, radioactive material. Includes release of radiation due to breaching of container or other accidental release.",HazSit,Hazardous Materials,Radioactive release Incident,A hazardous situational incident involving radioactive material release.
440,"Electrical wiring/equipment problem, other.",HazSit,Hazard Non Chem,"Elec power line down, arching, malfunc",A hazardous situation incident involving an arching or down power line or malfunction.
441,"Heat from short circuit (wiring), defective or worn insulation.",HazSit,Hazard Non Chem,"Elec hazard, short circuit",A hazardous situation incident involving an electrical hazard that may include a short circuit.
441,"Heat from short circuit (wiring), defective or worn insulation.",HazSit,Hazard Non Chem,"Elec power line down, arching, malfunc",A hazardous situation incident involving an arching or down power line or malfunction.
442,Overheated motor or wiring,HazSit,Hazard Non Chem,"Elec hazard, short circuit",A hazardous situation incident involving an electrical hazard that may include a short circuit.
442,Overheated motor or wiring,HazSit,Hazard Non Chem,"Elec power line down, arching, malfunc",A hazardous situation incident involving an arching or down power line or malfunction.
443,Breakdown of light ballast,HazSit,Hazard Non Chem,"Elec hazard, short circuit",A hazardous situation incident involving an electrical hazard that may include a short circuit.
443,Breakdown of light ballast,HazSit,Hazard Non Chem,"Elec power line down, arching, malfunc",A hazardous situation incident involving an arching or down power line or malfunction.
444,Power line down. Excludes people trapped by downed power lines (372).,HazSit,Hazard Non Chem,"Elec power line down, arching, malfunc",A hazardous situation incident involving an arching or down power line or malfunction.
445,"Arcing, shorted electrical equipment",HazSit,Hazard Non Chem,"Elec hazard, short circuit",A hazardous situation incident involving an electrical hazard that may include a short circuit.
445,"Arcing, shorted electrical equipment",HazSit,Hazard Non Chem,"Elec power line down, arching, malfunc",A hazardous situation incident involving an arching or down power line or malfunction.
451,"Biological hazard, confirmed or suspected",HazSit,Hazardous Materials,Biological release incident,A hazardous situational incident involving biological material release.
460,"Accident, potential accident, other",Pub Serv,Other,Standby,"A public service incident involving the deployment of emergency resources on standby, prepared to respond to an impending situation or ongoing incident, ensuring rapid assistance if needed."
461,Building or structure weakened or collapsed. Excludes incidents where people are trapped (351).,Pub Serv,Other,Standby,"A public service incident involving the deployment of emergency resources on standby, prepared to respond to an impending situation or ongoing incident, ensuring rapid assistance if needed."
462,Aircraft standby. Includes routine standby for takeoff and landing as well as emergency alerts at airports.,Pub Serv,Other,Standby,"A public service incident involving the deployment of emergency resources on standby, prepared to respond to an impending situation or ongoing incident, ensuring rapid assistance if needed."
463,"Vehicle accident, general cleanup. Includes incidents where FD is dispatched after the accident to clear away debris. Excludes extrication from vehicle (352) and flammable liquid spills (411 or 413).",Pub Serv,Citizen Assist,Citizen Assist Service Call,"A public service incident involving a request for assistance to perform service calls such as welfare checks, lockouts, or other aid that does not involve immediate danger."
471,"Explosive, bomb removal. Includes disarming, rendering safe, and disposing of bombs or suspected devices. Excludes bomb scare (721).",HazSit,Hazard Non Chem,"Bomb scare threat response, suspicious package",A hazardous situation incident involving a bomb threat or suspicious package response.
480,"Attempted burning, illegal action, other",Fire,Outside Fire,"Dumpster, other outdoor container fire","An outdoor fire incident involving the combustion of materials inside a dumpster or similar container, often consisting of waste and discarded items."
481,Attempt to burn. Includes situations in which incendiary devices fail to function.,Law Enforce,Law Enforce,Law Enforcement,An incident where an emergency response was triggered to provide support to a law enforcement agency.
482,Threat to burn,Law Enforce,Law Enforce,Law Enforcement,An incident where an emergency response was triggered to provide support to a law enforcement agency.
500,"Service call, other",Pub Serv,Citizen Assist,Citizen Assist Service Call,"A public service incident involving a request for assistance to perform service calls such as welfare checks, lockouts, or other aid that does not involve immediate danger."
510,"Person in distress, other",Pub Serv,Citizen Assist,Person in Distress,A public service incident involving a person in distress requiring assistance or intervention from emergency responders or community services.
511,Lock-out. Includes efforts to remove keys from locked vehicles. Excludes lock-ins (331).,Pub Serv,Citizen Assist,Citizen Assist Service Call,"A public service incident involving a request for assistance to perform service calls such as welfare checks, lockout, or other aid that does not involve immediate danger."
512,"Ring or jewelry removal, without transport to hospital. Excludes persons injured (321).",Pub Serv,Citizen Assist,Person in Distress,A public service incident involving a person in distress requiring assistance or intervention from emergency responders or community services.
520,"Water problem, other",Pub Serv,Other,Citizen Assist Service Call,"A public service incident involving a request for assistance to perform service calls such as welfare checks, lockout, or other aid that does not involve immediate danger."
521,Water evacuation,Rescue,Water,Person in water - Standing,"A water rescue incident involving victim(s) who are submerged or partially submerged in standing water, such as a lake, pond, or flooded area."
521,Water evacuation,Rescue,Water,Person in water - Swiftwater,"A water rescue incident involving victim(s) who are submerged or partially submerged in fast-moving water, such as a river or stream or ocean."
522,Water or steam leak. Includes open hydrant. Excludes overpressure ruptures (211).,Pub Serv,Other,Damaged hydrant,A public service incident involving the identification of a damaged fire hydrant that requires assessment and repair to ensure operational readiness and maintain water supply for emergency response.
531,Smoke or odor removal,HazSit,Investigation,Odor,A hazardous materials investigation incident involving odor.
540,"Animal problem, other",Pub Serv,Citizen Assist,Person in Distress,A public service incident involving a person in distress requiring assistance or intervention from emergency responders or community services.
541,Animal problem,Pub Serv,Citizen Assist,Person in Distress,A public service incident involving a person in distress requiring assistance or intervention from emergency responders or community services.
542,Animal rescue,Pub Serv,Citizen Assist,Citizen Assist Service Call,"A public service incident involving a request for assistance to perform service calls such as welfare checks, lockouts, or other aid that does not involve immediate danger"
550,"Public service assistance, other",Pub Serv,Citizen Assist,Citizen Assist Service Call,"A public service incident involving a request for assistance to perform service calls such as welfare checks, lockout, or other aid that does not involve immediate danger."
551,Assist police or other governmental agency. Includes forcible entry and the provision of lighting.,Law Enforce,Law Enforce,Law Enforcement,An incident where an emergency response was triggered to provide support to a law enforcement agency.
552,Police matter. Includes incidents where FD is called to a scene that should be handled by the police.,Law Enforce,Law Enforce,Law Enforcement,An incident where an emergency response was triggered to provide support to a law enforcement agency.
553,Public service. Excludes service to governmental agencies (551 or 552).,Pub Serv,Citizen Assist,Citizen Assist Service Call,"A public service incident involving a request for assistance to perform service calls such as welfare checks, lockouts, or other aid that does not involve immediate danger."
554,"Assist invalid. Includes incidents where the invalid calls the FD for routine help, such as assisting a person in returning to bed or chair, with no transport or medical treatment given.",Pub Serv,Citizen Assist,Lift assist,A public service incident involving a person who has fallen and requires help to stand or more safely.
555,"Defective elevator, no occupants",No Emerg,Good Intent,No incident found - Location error,An incident where an emergency response was triggered but not incident was found upon arrival.
561,Unauthorized burning,Fire,Outside Fire,"Dumpster, other outdoor container fire","An outdoor fire incident involving the combustion of materials inside a dumpster or similar container, often consisting of waste and discarded items."
571,"Cover assignment, assist other fire agency such as standby at a fire station or move-up.",Pub Serv,Other,Move up,"A public service incident involving the strategic relocation of emergency response resources to prime locations, enhancing readiness and reducing response times for potential emergencies in the area."
571,"Cover assignment, assist other fire agency such as standby at a fire station or move-up.",Pub Serv,Other,Standby,"A public service incident involving the deployment of emergency resources on standby, prepared to respond to an impending situation or ongoing incident, ensuring rapid assistance if needed."
600,"Good intent call, other",No Emerg,Good Intent,No incident found - Location error,An incident where an emergency response was triggered but not incident was found upon arrival.
611,"Dispatched and canceled en route. Incident cleared or canceled prior to arrival of the responding unit. If a unit arrives on the scene, fill out the applicable code.",No Emerg,Cancelled,Cancelled,An incident where an emergency response was triggered but cancelled before agency resources arrived on scene.
621,Wrong location. Excludes malicious false alarms (710 series).,No Emerg,Good Intent,No incident found - Location error,An incident where an emergency response was triggered but not incident was found upon arrival.
622,No incident found on arrival at dispatch address.,No Emerg,Good Intent,No incident found - Location error,An incident where an emergency response was triggered but not incident was found upon arrival.
631,Authorized controlled burning. Includes fires that are agricultural in nature and managed by the property owner. Excludes unauthorized controlled burning (561) and prescribed fires (632).,No Emerg,Good Intent,Controlled burning authorized,An incident where an emergency response was triggered by an authorized controlled burn was found upon arrival.
632,Prescribed fire,No Emerg,Good Intent,Controlled burning authorized,An incident where an emergency response was triggered by an authorized controlled burn was found upon arrival.
641,Vicinity alarm (incident in other location). For use only when an erroneous report is received for a legitimate incident. Includes separate locations reported for an actual fire and multiple boxes pulled for one fire.,Pub Serv,Alarms NonMed,Other Alarm,"A public service incident involving the activation of an alarm not categorized as fire, gas, or medical, requiring investigation to determine the cause and assess any potential risks to public safety."
650,"Steam, other gas mistaken for smoke, other",No Emerg,Good Intent,Smoke from nonhostile source,"An incident where an emergency response was triggered by smoke from a non-hostile source, with no actual emergency or threat present."
651,"Smoke scare, odor of smoke, not steam (652). Excludes gas scares or odors of gas (671).",HazSit,Investigation,Smoke investigation,A hazardous materials investigation incident involving smoke.
651,"Smoke scare, odor of smoke, not steam (652). Excludes gas scares or odors of gas (671).",No Emerg,Good Intent,Smoke from nonhostile source,"An incident where an emergency response was triggered by smoke from a non-hostile source, with no actual emergency or threat present."
652,"Steam, vapor, fog, or dust thought to be smoke",No Emerg,Good Intent,Smoke from nonhostile source,"An incident where an emergency response was triggered by smoke from a non-hostile source, with no actual emergency or threat present."
653,Smoke from barbecue or tar kettle (no hostile fire).,No Emerg,Good Intent,Smoke from nonhostile source,"An incident where an emergency response was triggered by smoke from a non-hostile source, with no actual emergency or threat present."
661,"EMS call, party transported by non-fire agency",Medical,Other,Intercept other unit,A medical incident involving the transfer of a patient between units.
671,Hazardous material release investigation with no hazardous condition found. Includes odor of gas with no leak/gas found.,No Emerg,Good Intent,Investigate hazardous release,An incident where an emergency response was triggered to investigate a hazardous release with no actual emergency or threat present.
672,Biological hazard investigation with no hazardous condition found,No Emerg,Good Intent,Investigate hazardous release,An incident where an emergency response was triggered to investigate a hazardous release with no actual emergency or threat present.
700,"False alarm or false call, other",No Emerg,False Alarm,Other false call,"An incident where an emergency response was triggered by an unsustained or incorrect activation, with no actual emergency or threat present."
710,"Malicious, mischievous false alarm, other",No Emerg,False Alarm,Intentional false alarm,"An Incident where an emergency response was triggered by a deliberately false report or intentional activation of an alarm, with no actual emergency or threat present."
711,"Municipal alarm system, malicious false alarm. Includes alarms transmitted on street fire alarm boxes.",No Emerg,False Alarm,Intentional false alarm,"An Incident where an emergency response was triggered by a deliberately false report or intentional activation of an alarm, with no actual emergency or threat present."
712,"Direct tie to fire department, malicious false alarm. Includes malicious alarms transmitted via fire alarm system directly tied to the fire department, not via dialed telephone.",No Emerg,False Alarm,Intentional false alarm,"An Incident where an emergency response was triggered by a deliberately false report or intentional activation of an alarm, with no actual emergency or threat present."
713,"Telephone, malicious false alarm. Includes false alarms transmitted via the public telephone network using the local emergency reporting number of the fire department or another emergency service agency.",No Emerg,False Alarm,Intentional false alarm,"An Incident where an emergency response was triggered by a deliberately false report or intentional activation of an alarm, with no actual emergency or threat present."
714,"Central station, malicious false alarm. Includes malicious false alarms via a central-station-monitored fire alarm system.",No Emerg,False Alarm,Intentional false alarm,"An Incident where an emergency response was triggered by a deliberately false report or intentional activation of an alarm, with no actual emergency or threat present."
715,"Local alarm system, malicious false alarm. Includes malicious false alarms reported via telephone or other means as a result of activation of a local fire alarm system.",No Emerg,False Alarm,Intentional false alarm,"An Incident where an emergency response was triggered by a deliberately false report or intentional activation of an alarm, with no actual emergency or threat present."
721,Bomb scare (no bomb).,No Emerg,False Alarm,Bomb scare,"An incident where an emergency response was triggered by a bomb threat, with no actual emergency or threat present."
730,"System or detector malfunction, other",No Emerg,False Alarm,Malfunctioning alarm,"An incident where an emergency response was triggered by a malfunctioning alarm, with no actual emergency or threat present."
731,Sprinkler activated due to the failure or malfunction of the sprinkler system. Includes any failure of sprinkler equipment that leads to sprinkler activation with no fire present. Excludes unintentional operation caused by damage to the sprinkler system (740 series).,No Emerg,False Alarm,Malfunctioning alarm,"An incident where an emergency response was triggered by a malfunctioning alarm, with no actual emergency or threat present."
732,Extinguishing system activation due to malfunction.,No Emerg,False Alarm,Malfunctioning alarm,"An incident where an emergency response was triggered by a malfunctioning alarm, with no actual emergency or threat present."
733,Smoke detector activation due to malfunction.,No Emerg,False Alarm,Malfunctioning alarm,"An incident where an emergency response was triggered by a malfunctioning alarm, with no actual emergency or threat present."
734,Heat detector activation due to malfunction.,No Emerg,False Alarm,Malfunctioning alarm,"An incident where an emergency response was triggered by a malfunctioning alarm, with no actual emergency or threat present."
735,Alarm system activation due to malfunction.,No Emerg,False Alarm,Malfunctioning alarm,"An incident where an emergency response was triggered by a malfunctioning alarm, with no actual emergency or threat present."
736,Carbon monoxide detector activation due to malfunction.,No Emerg,False Alarm,Malfunctioning alarm,"An incident where an emergency response was triggered by a malfunctioning alarm, with no actual emergency or threat present."
740,"Unintentional transmission of alarm, other",No Emerg,False Alarm,Accidental alarm,"An incident where an emergency response was triggered by an accidental alarm, with no actual emergency or threat present."
741,"Sprinkler activation (no fire), unintentional. Includes testing the sprinkler system without fire department notification.",No Emerg,False Alarm,Accidental alarm,"An incident where an emergency response was triggered by an accidental alarm, with no actual emergency or threat present."
742,Extinguishing system activation. Includes testing the extinguishing system without fire department notification.,No Emerg,False Alarm,Accidental alarm,"An incident where an emergency response was triggered by an accidental alarm, with no actual emergency or threat present."
743,"Smoke detector activation (no fire), unintentional. Includes proper system responses to environmental stimuli such as non hostile smoke.",No Emerg,False Alarm,Accidental alarm,"An incident where an emergency response was triggered by an accidental alarm, with no actual emergency or threat present."
744,"Detector activation (no fire), unintentional. A result of a proper system response to environmental stimuli such as high heat conditions.",No Emerg,False Alarm,Accidental alarm,"An incident where an emergency response was triggered by an accidental alarm, with no actual emergency or threat present."
745,"Alarm system activation (no fire), unintentional.",No Emerg,False Alarm,Accidental alarm,"An incident where an emergency response was triggered by an accidental alarm, with no actual emergency or threat present."
746,Carbon monoxide detector activation (no carbon monoxide detected). Excludes carbon monoxide detector malfunction.,No Emerg,False Alarm,Accidental alarm,"An incident where an emergency response was triggered by an accidental alarm, with no actual emergency or threat present."
